trade_id,ticker,shares,buy_price,buy_date,sell_price,sell_date,tag,thesis,conviction,target_price,status
1,AAPL,8,182.50,2025-09-12,0.0,,Long-term hold,Reason for Entry: Apple has strong brand loyalty and steady services revenue. Main Risk: Slower iPhone growth could limit upside. Exit Plan: Review if growth weakens for multiple quarters.,High,230.00,Open
2,NVDA,4,865.00,2025-10-03,0.0,,Momentum play,Reason for Entry: AI demand and data center growth support strong momentum. Main Risk: Valuation is high and expectations are aggressive. Exit Plan: Trim if momentum breaks or earnings disappoint.,High,1100.00,Open
3,MSFT,6,410.00,2025-08-20,0.0,,Long-term hold,Reason for Entry: Microsoft has cloud growth and strong enterprise demand. Main Risk: Cloud growth could slow if business spending weakens. Exit Plan: Hold unless fundamentals weaken.,High,500.00,Open
4,TSLA,5,235.00,2025-11-05,0.0,,Speculative bet,Reason for Entry: Tesla has upside if EV demand and autonomy expectations improve. Main Risk: Margins and competition remain major concerns. Exit Plan: Exit if price falls below risk level or thesis weakens.,Medium,310.00,Open
5,KO,15,61.50,2025-07-18,0.0,,Dividend income,Reason for Entry: Coca-Cola provides defensive exposure and steady dividends. Main Risk: Slow growth may underperform stronger sectors. Exit Plan: Keep unless dividend strength weakens.,Medium,70.00,Open
6,AMD,10,118.00,2025-09-30,146.00,2026-02-14,Swing trade,Reason for Entry: AMD looked oversold with possible semiconductor rebound. Main Risk: Competition from Nvidia could limit recovery. Exit Plan: Sell near target or if chip momentum fades.,Medium,150.00,Closed
7,JPM,5,205.00,2025-06-10,0.0,,Dividend income,Reason for Entry: JPMorgan has strong banking fundamentals and dividend stability. Main Risk: Interest rate changes could pressure margins. Exit Plan: Hold while earnings remain stable.,Medium,245.00,Open
8,SPY,7,555.00,2025-05-15,0.0,,Index alternative,Reason for Entry: SPY gives broad market exposure and lowers single-stock risk. Main Risk: Overall market weakness could drag returns. Exit Plan: Hold as benchmark position.,Low,620.00,Open
9,META,3,525.00,2025-10-22,0.0,,Momentum play,Reason for Entry: Meta has strong ad revenue and AI-driven engagement potential. Main Risk: Regulatory pressure and heavy AI spending could hurt margins. Exit Plan: Trim if growth slows or costs rise too quickly.,High,650.00,Open
10,NKE,9,84.00,2025-08-05,78.00,2026-01-12,Speculative bet,Reason for Entry: Nike appeared undervalued after weak sentiment. Main Risk: Brand turnaround may take longer than expected. Exit Plan: Close if recovery thesis does not show progress.,Low,95.00,Closed